#,Day,Date,Weekday,Unit,Time,Type,Platforms,Pillar,PreRecord,Topic,Hook (RO),Status,Notes
156,D23,2026-06-09,K,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Quick book quote + crypto take,Citat din carte + paralela crypto.,Planned,
157,D23,2026-06-09,K,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Cum integrez AI în content workflow,"Behind-the-scenes — Opus Clip, CapCut.",Planned,
158,D23,2026-06-09,K,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P5,Igen,Fake giveaway (Elon style),"«Trimite 1 ETH, primești 2» — niciodată.",Planned,
159,D23,2026-06-09,K,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Looking at portfolio (no numbers shown),Portofoliu look — fără sume.,Planned,
160,D23,2026-06-09,K,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: tokenomics 5 lucruri,Thread: tokenomics — 5 lucruri să cauți.,Planned,
161,D23,2026-06-09,K,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P6,Igen,Q&A AURA — kérdezzetek bármit,Întrebați-mă orice despre AURA — răspund mâine.,Planned,
162,D24,2026-06-10,Sze,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Wednesday BNR / EU regulation,Ce a zis regulatorul azi — pe înțelesul tău.,Planned,
163,D24,2026-06-10,Sze,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Watching news — live reaction,TV știri crypto — reacția mea.,Planned,
164,D24,2026-06-10,Sze,U3,11:00,LI-TXT,LinkedIn,P2,Igen,1 framework pentru a evita scam-urile,Decision framework în 60 sec.,Planned,
165,D24,2026-06-10,Sze,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Crypto 101 Ep.10 — EU MiCA,EU MiCA — ce înseamnă pentru tine în 2026.,Planned,
166,D24,2026-06-10,Sze,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Quick weather + crypto vibe parallel,Vremea + paralela cu crypto.,Planned,
167,D24,2026-06-10,Sze,U6,18:00,X-CLIP,X (Twitter),P5,Igen,Thread: phishing email,Thread: phishing email — 4 semne.,Planned,
168,D24,2026-06-10,Sze,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,Reactia mea la «doar 100 lei»,"Reacția mea la «doar 100 lei, ce ai de pierdut?».",Planned,
169,D25,2026-06-11,Cs,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Heti félidős market check,"La jumătatea săptămânii: cine câștigă, cine pierde.",Planned,
170,D25,2026-06-11,Cs,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Walking home + recap zilei,Recap zilei pe drum spre casă.,Planned,
171,D25,2026-06-11,Cs,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Lessons from week 3,Recap structural.,Planned,
172,D25,2026-06-11,Cs,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Hogyan olvass BTC chartot 60 mp,Cum citesc un grafic — fără TA jóslás.,Planned,
173,D25,2026-06-11,Cs,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Sunset shot + reflection,Apus + gând crypto.,Planned,
174,D25,2026-06-11,Cs,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: position sizing 1%,Thread: position sizing — regula 1%.,Planned,
175,D25,2026-06-11,Cs,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P4,Igen,"POV: la grătar, întrebare crypto","POV: la grătar, cineva întreabă «ce e Bitcoin?».",Planned,
176,D26,2026-06-12,P,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Friday news dump — 5 hír,"5 lucruri din crypto, în 60 de secunde.",Planned,
177,D26,2026-06-12,P,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Workout + crypto monologue,Antrenament + monolog crypto.,Planned,
178,D26,2026-06-12,P,U3,11:00,LI-TXT,LinkedIn,P2,Igen,De ce TikTok > LinkedIn pentru crypto education,Platform fit honest take.,Planned,
179,D26,2026-06-12,P,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P5,Igen,Ponzi scheme — Bitconnect 2.0,Bitconnect 2.0 — semnele unei scheme Ponzi.,Planned,
180,D26,2026-06-12,P,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Quick chat with neighbor about money,Discuție cu vecinul despre bani.,Planned,
181,D26,2026-06-12,P,U6,18:00,X-CLIP,X (Twitter),P5,Igen,Thread: SIM swap atac,Thread: SIM swap — cum lucrează.,Planned,
182,D26,2026-06-12,P,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,POV: prima oară te-a întrebat ANAF,POV: prima oară te-a întrebat ANAF de crypto.,Planned,
183,D27,2026-06-13,Szo,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Weekend market wrap,Weekend recap + 1 alt-coin de urmărit.,Planned,
184,D27,2026-06-13,Szo,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Pet appearance (vibe content),Pet vibe shot — break from crypto.,Planned,
185,D27,2026-06-13,Szo,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Romania regulation pulse check 2026,"Where we are, where we're going.",Planned,
186,D27,2026-06-13,Szo,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,DCA vs lump sum,DCA vs lump sum — care a funcționat în 5 ani.,Planned,
187,D27,2026-06-13,Szo,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Late-night phone scroll reaction,Scroll noaptea + reacție.,Planned,
188,D27,2026-06-13,Szo,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: 5 puncte safe exchange,Thread: 5 puncte să verifici un exchange.,Planned,
189,D27,2026-06-13,Szo,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P6,Igen,Community poll — mit a következő 30 napban,30 zile recap — ce vreți să fac în următoarele 30?,Planned,
190,D28,2026-06-14,V,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Heti előrejelzés — 3 esemény,3 lucruri de urmărit săptămâna care vine.,Planned,
191,D28,2026-06-14,V,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Random shop visit + price comp,Vizita la magazin — prețuri vs inflație.,Planned,
192,D28,2026-06-14,V,U3,11:00,LI-TXT,LinkedIn,P2,Igen,1 carte care a schimbat mindset-ul meu cu bani,Book + 3 takeaway-uri.,Planned,
193,D28,2026-06-14,V,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P5,Igen,SIM swap + 2FA SMS,SIM swap — de ce 2FA SMS nu e suficient.,Planned,
194,D28,2026-06-14,V,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Plan for tomorrow vlog snippet,Planul de mâine.,Planned,
195,D28,2026-06-14,V,U6,18:00,X-CLIP,X (Twitter),P5,Igen,Thread: wallet drainer,Thread: wallet drainer — site fals.,Planned,
196,D28,2026-06-14,V,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,Tipuri de comentarii sub crypto video,Tipuri de comentarii sub orice video de crypto.,Planned,
197,D29,2026-06-15,H,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Hétfői hír-dump — weekend recap,Weekend recap: 3 lucruri care s-au mișcat în crypto.,Planned,
198,D29,2026-06-15,H,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Sunday prep behind-the-scenes,Pregătire pentru weekly shoot.,Planned,
199,D29,2026-06-15,H,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Final lesson din prima lună creator,Big lesson — month 1 wrap.,Planned,
200,D29,2026-06-15,H,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,5 pontos checklist — safe exchange,Cum verifici dacă un exchange e safe.,Planned,
201,D29,2026-06-15,H,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Recap of best comment received,Best comment al zilei recapitulat.,Planned,
202,D29,2026-06-15,H,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: prima lună recap,Thread: 30 zile — 5 lecții.,Planned,
203,D29,2026-06-15,H,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P4,Igen,Highlight reel — top momentele lunii,Top momentele primei luni pe AURA.,Planned,
204,D30,2026-06-16,K,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Aznapi top hír,Știrea zilei din crypto — 30 de secunde.,Planned,
205,D30,2026-06-16,K,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,1 quote that defined month,Citatul lunii.,Planned,
206,D30,2026-06-16,K,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Ce urmează în luna 2 — roadmap public,Build in public — next 30 days.,Planned,
207,D30,2026-06-16,K,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Top 3 lecții din 30 zile,Top 3 lecții din prima lună pe AURA.,Planned,
208,D30,2026-06-16,K,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Goodnight thought — gratitude crypto,Gând de noapte — gratitudine community.,Planned,
209,D30,2026-06-16,K,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: ce urmează în luna 2,Thread: roadmap public pentru luna 2.,Planned,
210,D30,2026-06-16,K,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,Final community thank you POV,Mulțumesc pentru 30 de zile — voi sunteți AURA.,Planned,
